MTU (CET/CEST),Area,Total Generation Forecast (MW),Total Actual Generation (MW)
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|NL,10122.13,10172.14
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|NL,10206.73,10557.27
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|NL,10381.34,10998.69
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|NL,10348.07,11219.89
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|NL,10677.25,11348.14
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|NL,10963.12,11684.64
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|NL,11335.67,12041.66
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|NL,11243.51,11951.96
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|NL,11281.48,12119.91
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|NL,11287,12336.16
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|NL,11314.94,12479.83
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|NL,11239.92,13190.11
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|NL,11167.02,13274.63
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|NL,11147.88,13348.26
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|NL,11125.32,13285.4
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|NL,11117.03,14209.17
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|NL,11149.83,14216.92
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|NL,11079.71,14163.17
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|NL,11057.97,14221.21
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|NL,11124.04,15191.29
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|NL,11040.82,15550.97
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|NL,10979.91,15320.39
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|NL,11127.92,15367.7
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|NL,11081.94,15785.16
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|NL,11027.45,15966.21
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|NL,10948.05,15959.33
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|NL,11012.94,16165.61
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|NL,10997.65,16285.2
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|NL,10983.42,16509.8
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|NL,10995.07,16489.45
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|NL,11060.01,16778.01
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|NL,11226.42,16767.8
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|NL,11323.43,16881.48
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|NL,11539.58,16948.78
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|NL,11650.65,16711.23
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|NL,11764.98,16466.96
02/01/2025 15:15:00 - 02/01/2025 15:30:00,BZN|NL,11906.33,16254.12
02/01/2025 15:30:00 - 02/01/2025 15:45:00,BZN|NL,11893.63,16088.46
02/01/2025 15:45:00 - 02/01/2025 16:00:00,BZN|NL,11910.31,16070.1
02/01/2025 16:00:00 - 02/01/2025 16:15:00,BZN|NL,12039.25,16363.8
02/01/2025 16:15:00 - 02/01/2025 16:30:00,BZN|NL,12128.92,16184.68
02/01/2025 16:30:00 - 02/01/2025 16:45:00,BZN|NL,12251.81,16614.03
