"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2026 01:45:00 - 02/01/2026 02:00:00","BZN|NL","Without Sequence","9.94","",""
"02/01/2026 02:00:00 - 02/01/2026 02:15:00","BZN|NL","Without Sequence","20.00","",""
"02/01/2026 02:15:00 - 02/01/2026 02:30:00","BZN|NL","Without Sequence","15.57","",""
"02/01/2026 02:30:00 - 02/01/2026 02:45:00","BZN|NL","Without Sequence","14.42","",""
"02/01/2026 02:45:00 - 02/01/2026 03:00:00","BZN|NL","Without Sequence","9.99","",""
"02/01/2026 03:00:00 - 02/01/2026 03:15:00","BZN|NL","Without Sequence","9.99","",""
"02/01/2026 03:15:00 - 02/01/2026 03:30:00","BZN|NL","Without Sequence","7.75","",""
"02/01/2026 03:30:00 - 02/01/2026 03:45:00","BZN|NL","Without Sequence","9.93","",""
"02/01/2026 03:45:00 - 02/01/2026 04:00:00","BZN|NL","Without Sequence","7.60","",""
"02/01/2026 04:00:00 - 02/01/2026 04:15:00","BZN|NL","Without Sequence","9.42","",""
"02/01/2026 04:15:00 - 02/01/2026 04:30:00","BZN|NL","Without Sequence","9.42","",""
"02/01/2026 04:30:00 - 02/01/2026 04:45:00","BZN|NL","Without Sequence","10.00","",""
"02/01/2026 04:45:00 - 02/01/2026 05:00:00","BZN|NL","Without Sequence","11.17","",""
"02/01/2026 05:00:00 - 02/01/2026 05:15:00","BZN|NL","Without Sequence","9.82","",""
"02/01/2026 05:15:00 - 02/01/2026 05:30:00","BZN|NL","Without Sequence","14.00","",""
"02/01/2026 05:30:00 - 02/01/2026 05:45:00","BZN|NL","Without Sequence","15.57","",""
"02/01/2026 05:45:00 - 02/01/2026 06:00:00","BZN|NL","Without Sequence","22.83","",""
"02/01/2026 06:00:00 - 02/01/2026 06:15:00","BZN|NL","Without Sequence","12.41","",""
"02/01/2026 06:15:00 - 02/01/2026 06:30:00","BZN|NL","Without Sequence","26.46","",""
"02/01/2026 06:30:00 - 02/01/2026 06:45:00","BZN|NL","Without Sequence","37.22","",""
"02/01/2026 06:45:00 - 02/01/2026 07:00:00","BZN|NL","Without Sequence","43.29","",""
"02/01/2026 07:00:00 - 02/01/2026 07:15:00","BZN|NL","Without Sequence","36.12","",""
"02/01/2026 07:15:00 - 02/01/2026 07:30:00","BZN|NL","Without Sequence","47.67","",""
"02/01/2026 07:30:00 - 02/01/2026 07:45:00","BZN|NL","Without Sequence","59.99","",""
"02/01/2026 07:45:00 - 02/01/2026 08:00:00","BZN|NL","Without Sequence","71.04","",""
"02/01/2026 08:00:00 - 02/01/2026 08:15:00","BZN|NL","Without Sequence","70.69","",""
"02/01/2026 08:15:00 - 02/01/2026 08:30:00","BZN|NL","Without Sequence","73.08","",""
"02/01/2026 08:30:00 - 02/01/2026 08:45:00","BZN|NL","Without Sequence","74.52","",""
"02/01/2026 08:45:00 - 02/01/2026 09:00:00","BZN|NL","Without Sequence","89.97","",""
"02/01/2026 09:00:00 - 02/01/2026 09:15:00","BZN|NL","Without Sequence","103.64","",""
