MTU (CET/CEST),Area,Day-ahead onshore wind (MW),Intraday onshore wind (MW),Actual onshore wind (MW)
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|NL,3894,3894,2175.47
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|NL,3917,3917,2164.9
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|NL,3880,3880,2216.08
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|NL,3780,3780,2179.42
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|NL,3681,3681,2184.53
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|NL,3582,3582,2148.76
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|NL,3473,3473,2060.61
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|NL,3354,3354,2057.65
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|NL,3235,3235,2003.74
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|NL,2509,2509,1931.69
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|NL,2297,2297,1939.8
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|NL,2077,2077,1764.12
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|NL,1858,1858,1678.54
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|NL,1638,1638,1418.98
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|NL,1502,1502,1231.56
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|NL,1448,1448,1001.99
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|NL,1396,1396,1015.49
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|NL,1342,1342,973.88
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|NL,1290,1290,915.65
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|NL,1242,1242,865.13
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|NL,1193,1193,802.55
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|NL,1145,1145,759.1
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|NL,1099,1099,739.67
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|NL,1057,1057,744.14
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|NL,1014,1014,705.46
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|NL,972,972,671.08
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|NL,938,938,636.4
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|NL,919,919,667.02
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|NL,898,898,616.71
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|NL,876,876,572.58
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|NL,855,855,582.7
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|NL,833,833,564.07
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|NL,813,813,636.45
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|NL,791,791,506.81
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|NL,769,769,475.3
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|NL,749,749,519.57
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|NL,729,729,456.4
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|NL,709,709,401.16
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|NL,692,692,483.43
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|NL,678,678,443.51
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|NL,669,669,380.63
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|NL,654,654,379.43
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|NL,646,646,421.06
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|NL,638,638,423.13
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|NL,630,630,430.67
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|NL,622,622,464.94
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|NL,616,616,416.92
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|NL,610,610,401.72
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|NL,609,609,383.22
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|NL,603,603,421.72
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|NL,614,614,429.25
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|NL,637,637,408.31
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|NL,662,662,426.67
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|NL,685,685,475.43
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|NL,712,712,437.84
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|NL,743,743,529.77
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|NL,770,770,590.42
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|NL,801,801,665.96
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|NL,830,830,584.85
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|NL,858,858,494.69
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|NL,889,889,558.18
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|NL,918,918,720.46
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|NL,947,947,670.83
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|NL,977,977,660.01
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|NL,1007,1007,725.08
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|NL,1039,1039,748.99
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|NL,1067,1067,692.67
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|NL,1103,1103,675.18
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|NL,1134,1134,778.1
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|NL,1164,1164,825.46
02/01/2025 15:15:00 - 02/01/2025 15:30:00,BZN|NL,1201,1201,819.29
02/01/2025 15:30:00 - 02/01/2025 15:45:00,BZN|NL,1238,1238,786.27
02/01/2025 15:45:00 - 02/01/2025 16:00:00,BZN|NL,1275,1275,899.42
02/01/2025 16:00:00 - 02/01/2025 16:15:00,BZN|NL,1313,1313,958.5
02/01/2025 16:15:00 - 02/01/2025 16:30:00,BZN|NL,1338,1338,909.59
02/01/2025 16:30:00 - 02/01/2025 16:45:00,BZN|NL,1353,1353,1001.82
02/01/2025 16:45:00 - 02/01/2025 17:00:00,BZN|NL,1366,1366,885.21
02/01/2025 17:00:00 - 02/01/2025 17:15:00,BZN|NL,1382,1382,785.66
02/01/2025 17:15:00 - 02/01/2025 17:30:00,BZN|NL,1396,1396,792.46
02/01/2025 17:30:00 - 02/01/2025 17:45:00,BZN|NL,1412,1412,981.13
02/01/2025 17:45:00 - 02/01/2025 18:00:00,BZN|NL,1428,1428,857.55
02/01/2025 18:00:00 - 02/01/2025 18:15:00,BZN|NL,1444,1444,860.76
02/01/2025 18:15:00 - 02/01/2025 18:30:00,BZN|NL,1464,1464,1033.5
02/01/2025 18:30:00 - 02/01/2025 18:45:00,BZN|NL,1483,1483,1138.89
02/01/2025 18:45:00 - 02/01/2025 19:00:00,BZN|NL,1505,1505,1137.18
02/01/2025 19:00:00 - 02/01/2025 19:15:00,BZN|NL,1527,1527,1300.71
02/01/2025 19:15:00 - 02/01/2025 19:30:00,BZN|NL,1531,1531,1126.8
02/01/2025 19:30:00 - 02/01/2025 19:45:00,BZN|NL,1515,1515,996.45
02/01/2025 19:45:00 - 02/01/2025 20:00:00,BZN|NL,1503,1503,995.69
02/01/2025 20:00:00 - 02/01/2025 20:15:00,BZN|NL,1487,1487,843.95
02/01/2025 20:15:00 - 02/01/2025 20:30:00,BZN|NL,1472,1472,949.89
02/01/2025 20:30:00 - 02/01/2025 20:45:00,BZN|NL,1459,1459,912.93
02/01/2025 20:45:00 - 02/01/2025 21:00:00,BZN|NL,1445,1445,730.74
02/01/2025 21:00:00 - 02/01/2025 21:15:00,BZN|NL,1428,1428,888.48
02/01/2025 21:15:00 - 02/01/2025 21:30:00,BZN|NL,1413,1413,902.72
02/01/2025 21:30:00 - 02/01/2025 21:45:00,BZN|NL,1394,1394,1141.63
02/01/2025 21:45:00 - 02/01/2025 22:00:00,BZN|NL,1376,1376,1299.19
02/01/2025 22:00:00 - 02/01/2025 22:15:00,BZN|NL,1356,1356,1191.49
02/01/2025 22:15:00 - 02/01/2025 22:30:00,BZN|NL,1352,1352,1100.59
02/01/2025 22:30:00 - 02/01/2025 22:45:00,BZN|NL,1359,1359,1040.92
02/01/2025 22:45:00 - 02/01/2025 23:00:00,BZN|NL,1365,1365,1088.8
02/01/2025 23:00:00 - 02/01/2025 23:15:00,BZN|NL,1372,1372,988.32
02/01/2025 23:15:00 - 02/01/2025 23:30:00,BZN|NL,1380,1380,884.17
02/01/2025 23:30:00 - 02/01/2025 23:45:00,BZN|NL,1386,1386,747.16
02/01/2025 23:45:00 - 03/01/2025 00:00:00,BZN|NL,1392,1392,800.81
03/01/2025 00:00:00 - 03/01/2025 00:15:00,BZN|NL,1497,1497,848.9
03/01/2025 00:15:00 - 03/01/2025 00:30:00,BZN|NL,1494,1494,881.45
03/01/2025 00:30:00 - 03/01/2025 00:45:00,BZN|NL,1488,1488,895.16
03/01/2025 00:45:00 - 03/01/2025 01:00:00,BZN|NL,1481,1481,967.57
03/01/2025 01:00:00 - 03/01/2025 01:15:00,BZN|NL,1476,1476,1112.09
03/01/2025 01:15:00 - 03/01/2025 01:30:00,BZN|NL,1493,1493,1076.94
03/01/2025 01:30:00 - 03/01/2025 01:45:00,BZN|NL,1532,1532,1026.39
03/01/2025 01:45:00 - 03/01/2025 02:00:00,BZN|NL,1574,1574,1121.88
03/01/2025 02:00:00 - 03/01/2025 02:15:00,BZN|NL,1616,1616,1034.25
03/01/2025 02:15:00 - 03/01/2025 02:30:00,BZN|NL,1658,1658,1087.49
03/01/2025 02:30:00 - 03/01/2025 02:45:00,BZN|NL,1701,1701,1196.71
03/01/2025 02:45:00 - 03/01/2025 03:00:00,BZN|NL,1743,1743,1122.29
03/01/2025 03:00:00 - 03/01/2025 03:15:00,BZN|NL,1785,1785,1141.37
03/01/2025 03:15:00 - 03/01/2025 03:30:00,BZN|NL,1827,1827,1186.42
03/01/2025 03:30:00 - 03/01/2025 03:45:00,BZN|NL,1867,1867,1297.34
03/01/2025 03:45:00 - 03/01/2025 04:00:00,BZN|NL,1910,1910,1414.57
03/01/2025 04:00:00 - 03/01/2025 04:15:00,BZN|NL,1951,1951,1489.7
03/01/2025 04:15:00 - 03/01/2025 04:30:00,BZN|NL,2011,2011,1498.02
03/01/2025 04:30:00 - 03/01/2025 04:45:00,BZN|NL,2091,2091,1460.36
03/01/2025 04:45:00 - 03/01/2025 05:00:00,BZN|NL,2171,2171,1458.68
03/01/2025 05:00:00 - 03/01/2025 05:15:00,BZN|NL,2253,2253,1517.57
