MTU (CET/CEST),Area,Day-ahead solar (MW),Intraday solar (MW),Actual solar (MW)
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|NL,0,0,0
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|NL,0,0,0
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|NL,0,0,0
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|NL,0,0,0
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|NL,0,0,0
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|NL,0,0,0
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|NL,0,0,0
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|NL,0,0,0
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|NL,0,0,0
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|NL,0,0,0
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|NL,0,0,0
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|NL,0,0,0
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|NL,0,0,0
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|NL,0,0,0
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|NL,0,0,0
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|NL,0,0,0
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|NL,0,0,0
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|NL,0,0,0
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|NL,0,0,0
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|NL,0,0,0
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|NL,0,0,0
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|NL,0,0,0
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|NL,0,0,0
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|NL,0,0,0
02/01/2025 06:00:00 - 02/01/2025 06:15:00,BZN|NL,0,0,0
02/01/2025 06:15:00 - 02/01/2025 06:30:00,BZN|NL,0,0,0
02/01/2025 06:30:00 - 02/01/2025 06:45:00,BZN|NL,0,0,0
02/01/2025 06:45:00 - 02/01/2025 07:00:00,BZN|NL,0,0,0
02/01/2025 07:00:00 - 02/01/2025 07:15:00,BZN|NL,0,0,0
02/01/2025 07:15:00 - 02/01/2025 07:30:00,BZN|NL,0,0,0
02/01/2025 07:30:00 - 02/01/2025 07:45:00,BZN|NL,0,0,0
02/01/2025 07:45:00 - 02/01/2025 08:00:00,BZN|NL,0,0,0
02/01/2025 08:00:00 - 02/01/2025 08:15:00,BZN|NL,0,0,0
02/01/2025 08:15:00 - 02/01/2025 08:30:00,BZN|NL,0,0,0
02/01/2025 08:30:00 - 02/01/2025 08:45:00,BZN|NL,0,0,0.05
02/01/2025 08:45:00 - 02/01/2025 09:00:00,BZN|NL,0,0,1.21
02/01/2025 09:00:00 - 02/01/2025 09:15:00,BZN|NL,2,2,6.19
02/01/2025 09:15:00 - 02/01/2025 09:30:00,BZN|NL,113,113,10.74
02/01/2025 09:30:00 - 02/01/2025 09:45:00,BZN|NL,222,222,21.94
02/01/2025 09:45:00 - 02/01/2025 10:00:00,BZN|NL,331,331,33.56
02/01/2025 10:00:00 - 02/01/2025 10:15:00,BZN|NL,444,444,48.38
02/01/2025 10:15:00 - 02/01/2025 10:30:00,BZN|NL,756,756,55.13
02/01/2025 10:30:00 - 02/01/2025 10:45:00,BZN|NL,1073,1073,72.62
02/01/2025 10:45:00 - 02/01/2025 11:00:00,BZN|NL,1388,1388,74.75
02/01/2025 11:00:00 - 02/01/2025 11:15:00,BZN|NL,1700,1700,77.56
02/01/2025 11:15:00 - 02/01/2025 11:30:00,BZN|NL,1797,1797,105.07
02/01/2025 11:30:00 - 02/01/2025 11:45:00,BZN|NL,1893,1893,87.33
02/01/2025 11:45:00 - 02/01/2025 12:00:00,BZN|NL,1989,1989,113.16
02/01/2025 12:00:00 - 02/01/2025 12:15:00,BZN|NL,2084,2084,127.96
02/01/2025 12:15:00 - 02/01/2025 12:30:00,BZN|NL,2126,2126,122.74
02/01/2025 12:30:00 - 02/01/2025 12:45:00,BZN|NL,2170,2170,112.73
02/01/2025 12:45:00 - 02/01/2025 13:00:00,BZN|NL,2210,2210,105.49
02/01/2025 13:00:00 - 02/01/2025 13:15:00,BZN|NL,2253,2253,121.63
02/01/2025 13:15:00 - 02/01/2025 13:30:00,BZN|NL,2186,2186,119.2
02/01/2025 13:30:00 - 02/01/2025 13:45:00,BZN|NL,2119,2119,108.06
02/01/2025 13:45:00 - 02/01/2025 14:00:00,BZN|NL,2051,2051,98.52
02/01/2025 14:00:00 - 02/01/2025 14:15:00,BZN|NL,1989,1989,93.18
02/01/2025 14:15:00 - 02/01/2025 14:30:00,BZN|NL,1917,1917,70.82
02/01/2025 14:30:00 - 02/01/2025 14:45:00,BZN|NL,1847,1847,64.61
02/01/2025 14:45:00 - 02/01/2025 15:00:00,BZN|NL,1776,1776,71.08
02/01/2025 15:00:00 - 02/01/2025 15:15:00,BZN|NL,1704,1704,32.88
02/01/2025 15:15:00 - 02/01/2025 15:30:00,BZN|NL,1579,1579,21.11
02/01/2025 15:30:00 - 02/01/2025 15:45:00,BZN|NL,1454,1454,20.25
02/01/2025 15:45:00 - 02/01/2025 16:00:00,BZN|NL,1326,1326,11.58
02/01/2025 16:00:00 - 02/01/2025 16:15:00,BZN|NL,1202,1202,6.31
02/01/2025 16:15:00 - 02/01/2025 16:30:00,BZN|NL,912,912,1.66
02/01/2025 16:30:00 - 02/01/2025 16:45:00,BZN|NL,622,622,0.18
02/01/2025 16:45:00 - 02/01/2025 17:00:00,BZN|NL,335,335,0
02/01/2025 17:00:00 - 02/01/2025 17:15:00,BZN|NL,46,46,0
02/01/2025 17:15:00 - 02/01/2025 17:30:00,BZN|NL,36,36,0
02/01/2025 17:30:00 - 02/01/2025 17:45:00,BZN|NL,24,24,0
02/01/2025 17:45:00 - 02/01/2025 18:00:00,BZN|NL,10,10,0
02/01/2025 18:00:00 - 02/01/2025 18:15:00,BZN|NL,0,0,0
02/01/2025 18:15:00 - 02/01/2025 18:30:00,BZN|NL,0,0,0
02/01/2025 18:30:00 - 02/01/2025 18:45:00,BZN|NL,0,0,0
02/01/2025 18:45:00 - 02/01/2025 19:00:00,BZN|NL,0,0,0
02/01/2025 19:00:00 - 02/01/2025 19:15:00,BZN|NL,0,0,0
02/01/2025 19:15:00 - 02/01/2025 19:30:00,BZN|NL,0,0,0
02/01/2025 19:30:00 - 02/01/2025 19:45:00,BZN|NL,0,0,0
02/01/2025 19:45:00 - 02/01/2025 20:00:00,BZN|NL,0,0,0
02/01/2025 20:00:00 - 02/01/2025 20:15:00,BZN|NL,0,0,0
02/01/2025 20:15:00 - 02/01/2025 20:30:00,BZN|NL,0,0,0
02/01/2025 20:30:00 - 02/01/2025 20:45:00,BZN|NL,0,0,0
02/01/2025 20:45:00 - 02/01/2025 21:00:00,BZN|NL,0,0,0
02/01/2025 21:00:00 - 02/01/2025 21:15:00,BZN|NL,0,0,0
02/01/2025 21:15:00 - 02/01/2025 21:30:00,BZN|NL,0,0,0
02/01/2025 21:30:00 - 02/01/2025 21:45:00,BZN|NL,0,0,0
02/01/2025 21:45:00 - 02/01/2025 22:00:00,BZN|NL,0,0,0
02/01/2025 22:00:00 - 02/01/2025 22:15:00,BZN|NL,0,0,0
02/01/2025 22:15:00 - 02/01/2025 22:30:00,BZN|NL,0,0,0
02/01/2025 22:30:00 - 02/01/2025 22:45:00,BZN|NL,0,0,0
02/01/2025 22:45:00 - 02/01/2025 23:00:00,BZN|NL,0,0,0
02/01/2025 23:00:00 - 02/01/2025 23:15:00,BZN|NL,0,0,0
02/01/2025 23:15:00 - 02/01/2025 23:30:00,BZN|NL,0,0,0
02/01/2025 23:30:00 - 02/01/2025 23:45:00,BZN|NL,0,0,0
02/01/2025 23:45:00 - 03/01/2025 00:00:00,BZN|NL,0,0,0
03/01/2025 00:00:00 - 03/01/2025 00:15:00,BZN|NL,0,0,0
03/01/2025 00:15:00 - 03/01/2025 00:30:00,BZN|NL,0,0,0
03/01/2025 00:30:00 - 03/01/2025 00:45:00,BZN|NL,0,0,0
03/01/2025 00:45:00 - 03/01/2025 01:00:00,BZN|NL,0,0,0
03/01/2025 01:00:00 - 03/01/2025 01:15:00,BZN|NL,0,0,0
03/01/2025 01:15:00 - 03/01/2025 01:30:00,BZN|NL,0,0,0
03/01/2025 01:30:00 - 03/01/2025 01:45:00,BZN|NL,0,0,0
03/01/2025 01:45:00 - 03/01/2025 02:00:00,BZN|NL,0,0,0
03/01/2025 02:00:00 - 03/01/2025 02:15:00,BZN|NL,0,0,0
03/01/2025 02:15:00 - 03/01/2025 02:30:00,BZN|NL,0,0,0
03/01/2025 02:30:00 - 03/01/2025 02:45:00,BZN|NL,0,0,0
03/01/2025 02:45:00 - 03/01/2025 03:00:00,BZN|NL,0,0,0
03/01/2025 03:00:00 - 03/01/2025 03:15:00,BZN|NL,0,0,0
03/01/2025 03:15:00 - 03/01/2025 03:30:00,BZN|NL,0,0,0
03/01/2025 03:30:00 - 03/01/2025 03:45:00,BZN|NL,0,0,0
03/01/2025 03:45:00 - 03/01/2025 04:00:00,BZN|NL,0,0,0
03/01/2025 04:00:00 - 03/01/2025 04:15:00,BZN|NL,0,0,0
03/01/2025 04:15:00 - 03/01/2025 04:30:00,BZN|NL,0,0,0
03/01/2025 04:30:00 - 03/01/2025 04:45:00,BZN|NL,0,0,0
03/01/2025 04:45:00 - 03/01/2025 05:00:00,BZN|NL,0,0,0
03/01/2025 05:00:00 - 03/01/2025 05:15:00,BZN|NL,0,0,0
03/01/2025 05:15:00 - 03/01/2025 05:30:00,BZN|NL,0,0,0
03/01/2025 05:30:00 - 03/01/2025 05:45:00,BZN|NL,0,0,0
03/01/2025 05:45:00 - 03/01/2025 06:00:00,BZN|NL,0,0,0
03/01/2025 06:00:00 - 03/01/2025 06:15:00,BZN|NL,0,0,0
03/01/2025 06:15:00 - 03/01/2025 06:30:00,BZN|NL,0,0,0
03/01/2025 06:30:00 - 03/01/2025 06:45:00,BZN|NL,0,0,0
03/01/2025 06:45:00 - 03/01/2025 07:00:00,BZN|NL,0,0,0
03/01/2025 07:00:00 - 03/01/2025 07:15:00,BZN|NL,0,0,0
03/01/2025 07:15:00 - 03/01/2025 07:30:00,BZN|NL,0,0,0
03/01/2025 07:30:00 - 03/01/2025 07:45:00,BZN|NL,0,0,0
03/01/2025 07:45:00 - 03/01/2025 08:00:00,BZN|NL,0,0,0
03/01/2025 08:00:00 - 03/01/2025 08:15:00,BZN|NL,0,0,0
03/01/2025 08:15:00 - 03/01/2025 08:30:00,BZN|NL,0,0,0
03/01/2025 08:30:00 - 03/01/2025 08:45:00,BZN|NL,0,0,0.02
03/01/2025 08:45:00 - 03/01/2025 09:00:00,BZN|NL,2,2,1.1
03/01/2025 09:00:00 - 03/01/2025 09:15:00,BZN|NL,3,3,3.95
